2026-04-23 10:05:30.788 [http-nio-0.0.0.0-8080-exec-170] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_178_1] [2026-04-23 10:05:30.788] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-61] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_3_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-174] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_172_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-56] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_63_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-188] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_188_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-9] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_57_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-6] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_25_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-199] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_199_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-144] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_144_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-114] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_102_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-136] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_133_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-77] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_36_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-200] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_205_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-32] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_45_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-50] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_90_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-33] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_94_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-20] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_85_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-60] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_77_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-1] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_39_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-98] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_8_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-54] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_48_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-173] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_175_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-164] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_169_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-17] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_38_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-150] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_152_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-13] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_76_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-155] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_153_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-38] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_4_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-101] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_114_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-113] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_109_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-28] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_1_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-90] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_53_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-139] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_140_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-105] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_122_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-193] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_192_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-53] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_83_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-132] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_136_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-118] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_115_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.796 [http-nio-0.0.0.0-8080-exec-16] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_5_1] [2026-04-23 10:05:30.796] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-178] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_177_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-41] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_55_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-62] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_40_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-64] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_74_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-143] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_139_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-148] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_148_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-189] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_189_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-42] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_68_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-192] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_193_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-154] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_155_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-8] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_62_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-187] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_187_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-168] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_166_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.795 [http-nio-0.0.0.0-8080-exec-140] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_141_1] [2026-04-23 10:05:30.795] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-43] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_51_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-107] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_104_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-166] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_164_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-194] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_194_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-133] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_128_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-15] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_54_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-67] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_82_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-165] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_163_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-81] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_52_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-122] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_117_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-59] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_70_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-49] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_30_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.794 [http-nio-0.0.0.0-8080-exec-191] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_191_1] [2026-04-23 10:05:30.794] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-99] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_87_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-91] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_58_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-120] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_118_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-4] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_80_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-39] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_92_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-156] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_156_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-85] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_100_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-162] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_162_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-46] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_42_1] [2026-04-23 10:05:30.788] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-30] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_22_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-82] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_98_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-161] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_161_1] [2026-04-23 10:05:30.792] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-135] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_134_1] [2026-04-23 10:05:30.788] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.792 [http-nio-0.0.0.0-8080-exec-96] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_67_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-106] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_124_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-3] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_10_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-52] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_6_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-169] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_168_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-183] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_183_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-175] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_176_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-195] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_195_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-159] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_159_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-2] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_66_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-97] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_47_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
2026-04-23 10:05:30.791 [http-nio-0.0.0.0-8080-exec-12] INFO  org.example.springbootdemo.util.StructuredLogger - [Category:order.redis] [BizNo:ORD_20260423100530_32_1] [2026-04-23 10:05:30.791] 开始处理订单，platformId=PLATFORM_A, 商品种类数=2
